id,year,week,season,team,pf,pa,opp,win,loss
438,2015,11,r,Billy,82,91,DenR,0,1
439,2015,11,r,Big Boy,90,56,Fig,1,0
440,2015,11,r,Nordy,91,105,The Boo,0,1
441,2015,11,r,Rose,83,109,Chad,0,1
442,2015,11,r,Frankie,120,80,Timmy,1,0
443,2015,12,r,Nordy,80,130,Fig,0,1
444,2015,12,r,Billy,157,92,Chad,1,0
445,2015,12,r,Frankie,112,111,DenR,1,0
446,2015,12,r,Big Boy,125,107,Rose,1,0
447,2015,12,r,Timmy,145,112,The Boo,1,0
448,2015,12,r,Fig,130,80,Nordy,1,0
449,2015,12,r,Chad,92,157,Billy,0,1
450,2015,12,r,DenR,111,112,Frankie,0,1
451,2015,12,r,Rose,107,125,Big Boy,0,1
452,2015,12,r,The Boo,112,145,Timmy,0,1
453,2015,13,r,Frankie,167,122,Chad,1,0
454,2015,13,r,Rose,127,160,Fig,0,1
455,2015,13,r,Nordy,92,137,Timmy,0,1
456,2015,13,r,Big Boy,54,129,Billy,0,1
457,2015,13,r,DenR,110,92,The Boo,1,0
458,2015,13,r,Chad,122,167,Frankie,0,1
459,2015,13,r,Fig,160,127,Rose,1,0
460,2015,13,r,Timmy,137,92,Nordy,1,0
461,2015,13,r,Billy,129,54,Big Boy,1,0
462,2015,13,r,The Boo,92,110,DenR,0,1
463,2015,DC,p,Timmy,138,119,The Boo,1,0
464,2015,DC,p,The Boo,119,138,Timmy,0,1
465,2015,SF,p,The Boo,147,141,Big Boy,1,0
466,2015,SF,p,Timmy,178,105,DenR,1,0
467,2015,SF,p,Big Boy,141,147,The Boo,0,1
468,2015,SF,p,DenR,105,178,Timmy,0,1
469,2015,WC,p,Billy,81,123,The Boo,0,1
470,2015,WC,p,Timmy,152,129,Fig,1,0
471,2015,WC,p,The Boo,123,81,Billy,1,0
472,2015,WC,p,Fig,129,152,Timmy,0,1
473,2016,1,r,Timmy,118,111,Big Boy,1,0
474,2016,1,r,Billy,120,131,Rose,0,1
475,2016,1,r,The Boo,165,154,Frankie,1,0
476,2016,1,r,Fig,172,92,Chad,1,0
477,2016,1,r,DenR,120,106,Nordy,1,0
478,2016,1,r,Big Boy,111,118,Timmy,0,1
479,2016,1,r,Rose,131,120,Billy,1,0
480,2016,1,r,Frankie,154,165,The Boo,0,1
481,2016,1,r,Chad,92,172,Fig,0,1
482,2016,1,r,Nordy,106,120,DenR,0,1
483,2016,2,r,The Boo,114,136,Billy,0,1
484,2016,2,r,Big Boy,97,131,Fig,0,1
485,2016,2,r,Timmy,131,138,DenR,0,1
486,2016,2,r,Rose,90,89,Chad,1,0
487,2016,2,r,Frankie,145,110,Nordy,1,0
488,2016,2,r,Billy,136,114,The Boo,1,0
489,2016,2,r,Fig,131,97,Big Boy,1,0
490,2016,2,r,DenR,138,131,Timmy,1,0
491,2016,2,r,Chad,89,90,Rose,0,1
492,2016,2,r,Nordy,110,145,Frankie,0,1
493,2016,3,r,DenR,104,118,Fig,0,1
494,2016,3,r,Chad,139,96,Billy,1,0
495,2016,3,r,Nordy,104,82,The Boo,1,0
496,2016,3,r,Rose,175,146,Big Boy,1,0
497,2016,3,r,Frankie,79,90,Timmy,0,1
498,2016,3,r,Fig,118,104,DenR,1,0
499,2016,3,r,Billy,96,139,Chad,0,1
500,2016,3,r,The Boo,82,104,Nordy,0,1
501,2016,3,r,Big Boy,146,175,Rose,0,1
502,2016,3,r,Timmy,90,79,Frankie,1,0
503,2016,4,r,Nordy,86,92,Chad,0,1
504,2016,4,r,Fig,118,136,Rose,0,1
505,2016,4,r,DenR,83,130,Frankie,0,1
506,2016,4,r,Billy,136,120,Big Boy,1,0
507,2016,4,r,The Boo,103,113,Timmy,0,1
508,2016,4,r,Chad,92,86,Nordy,1,0
509,2016,4,r,Rose,136,118,Fig,1,0
510,2016,4,r,Frankie,130,83,DenR,1,0
511,2016,4,r,Big Boy,120,136,Billy,0,1
512,2016,4,r,Timmy,113,103,The Boo,1,0
513,2016,5,r,Frankie,84,126,Rose,0,1
514,2016,5,r,Big Boy,154,97,Chad,1,0
515,2016,5,r,Timmy,121,96,Nordy,1,0
516,2016,5,r,Billy,144,100,Fig,1,0
517,2016,5,r,The Boo,117,142,DenR,0,1
